Keywords	Subject
teacher development coursera literacy teaching aims, approaches pedagogies	Teacher Development
self improvement coursera converting challenges into opportunities	Self Improvement
self improvement coursera trabajar para ser feliz	Self Improvement
career development coursera mi primer empleo (mpe)	Career Development
communication skills coursera teamwork skills communicating effectively groups	Communication Skills
personal development coursera personality types at work	Personal Development
career development coursera career success project	Career Development
personal development nptel enhancing soft skills & personality	Personal Development
personal development futurelearn world spies keeping secrets	Personal Development
career development coursera career options exploring new career	Career Development
social sciences nptel digital everyday from codes cloud	Social Sciences
career development coursera excel aplicado los negocios (nivel avanzado)	Career Development
communication skills coursera influencing people	Communication Skills
career development coursera excel skills business intermediate ii	Career Development
career development coursera excel skills business advanced	Career Development
communication skills coursera communication theory bridging academia practice	Communication Skills
communication skills coursera la solución del conflicto ético	Communication Skills
self improvement coursera creative problem solving	Self Improvement
communication skills coursera public speaking	Communication Skills
communication skills novoed contar historias para el cambio	Communication Skills
career development coursera successful career development	Career Development
self improvement futurelearn maintaining mindful life	Self Improvement
communication skills edx negoziazione e comunicazione efficace	Communication Skills
self improvement futurelearn logical critical thinking	Self Improvement
teacher development nptel effective engineering teaching practice	Teacher Development
k12 futurelearn teaching programming primary schools	K12
communication skills open2study negotiation conflict resolution	Communication Skills
self improvement coursera work smarter, not harder time management personal & professional productivity	Self Improvement
online education futurelearn online collaborating	Online Education
k12 mooc-ed fraction foundations helping students understand fractions	K12
self improvement coursera aprender	Self Improvement
online education coursera e-learning ecologies innovative approaches teaching digital age	Online Education
course development canvas network (he) explore competency-based education	Course Development
stem edx advancing through evidence-based stem teaching	STEM
online education futurelearn online searching researching	Online Education
education & teaching coursera orchestrating whole classroom discussion	Education & Teaching
teacher development mooc-ed differences	Teacher Development
test prep coursera fundamentals engineering exam review	Test Prep
course development futurelearn teaching literacy through film	Course Development
k12 mooc-ed teaching foundational reading skills	K12
stem coursera tinkering fundamentals circuits	STEM
higher education coursera studying at japanese universities	Higher Education
online education futurelearn online managing your identity	Online Education
education & teaching coursera ict primary education transforming children's across curriculum	Education & Teaching
teacher development nptel educational leadership	Teacher Development
online education futurelearn online reflecting sharing	Online Education
education & teaching coursera techniques teaching adjectives adjective clauses	Education & Teaching
education & teaching coursera interactive practical teaching technology	Education & Teaching
course development futurelearn blended essentials embedding practice	Course Development
stem futurelearn prepare run code club	STEM
education & teaching coursera american education reform history, policy, practice	Education & Teaching
higher education coursera applying u.s. universities	Higher Education
education & teaching futurelearn education all disability, diversity inclusion	Education & Teaching
higher education futurelearn beginner's guide writing english university study	Higher Education
higher education futurelearn academic integrity values, skills, action	Higher Education
personal development coursera mindshift break through obstacles discover your hidden potential	Personal Development
teacher development coursera teaching character creating positive classrooms	Teacher Development
education & teaching edx leaders	Education & Teaching
test prep futurelearn understanding ielts techniques english language tests	Test Prep
k12 open2study early childhood education	K12
public health coursera healthcare marketplace	Public Health
health care coursera oral cavity portal health disease	Health Care
disease & disorders futurelearn causes human disease transmitting fighting infection	Disease & Disorders
health care coursera essentials global health	Health Care
public health coursera systems thinking public health	Public Health
disease & disorders futurelearn exploring cancer medicines	Disease & Disorders
health care coursera dental medicine	Health Care
public health coursera healthcare delivery providers	Public Health
disease & disorders coursera bacteria chronic infections	Disease & Disorders
disease & disorders futurelearn antimicrobial stewardship managing antibiotic resistance	Disease & Disorders
nutrition & wellness coursera meat we eat	Nutrition & Wellness
health care coursera 社会调查与研究方法 （上）methodologies social research (part i)	Health Care
health care edx global health informatics improve quality care	Health Care
health care coursera setting stage success eye safety culture teamwork (patient safety ii)	Health Care
health care coursera edivet do you have what it takes be veterinarian?	Health Care
health & medicine coursera positive psychiatry mental health	Health & Medicine
nutrition & wellness coursera 营养与健康	Nutrition & Wellness
health care futurelearn improving healthcare through clinical research	Health Care
health care coursera foundations assisting home care	Health Care
health care canvas network deteriorating patient assessment, recognition management	Health Care
health care coursera planning patient safety or quality improvement project (patient safety iii)	Health Care
health care coursera health literacy communication health professionals	Health Care
nutrition & wellness coursera alimentación y dietética para una vuelta al mundo vela	Nutrition & Wellness
health care coursera global health policy	Health Care
health & medicine coursera science exercise	Health & Medicine
public health coursera violence against healthcare	Public Health
health care coursera 更年期综合管理	Health Care
health care coursera anatomy abdomen pelvis; journey from basis clinic.	Health Care
nursing coursera implementing patient safety or quality improvement project (patient safety v)	Nursing
nursing coursera designing sustainment keeping improvement work track (patient safety iv)	Nursing
nursing coursera measuring success patient safety or quality improvement project (patient safety vi)	Nursing
nutrition & wellness futurelearn science nutrition	Nutrition & Wellness
nutrition & wellness edx nutrition health macronutrients overnutrition	Nutrition & Wellness
health care canvas network cpr, aed first aid	Health Care
nutrition & wellness edx becoming resilient person science stress management	Nutrition & Wellness
disease & disorders open2study understanding common diseases	Disease & Disorders
public health coursera epidemiology basic science public health	Public Health
disease & disorders coursera clinical neurology	Disease & Disorders
disease & disorders coursera epidemics dynamics infectious diseases	Disease & Disorders
disease & disorders edx viruses & beat them cells, immunity, vaccines	Disease & Disorders
nutrition & wellness futurelearn food as medicine	Nutrition & Wellness
disease & disorders coursera addicted brain	Disease & Disorders
nutrition & wellness open2study food, nutrition & your health	Nutrition & Wellness
nutrition & wellness coursera stanford food health	Nutrition & Wellness
nutrition & wellness coursera child nutrition cooking	Nutrition & Wellness
health care futurelearn medicine arts humanising healthcare	Health Care
social sciences nptel knowledge management	Social Sciences
self improvement coursera learn powerful mental tools help you master tough subjects	Self Improvement
economics nptel strategy game theory	Economics
health care coursera understanding clinical research behind statistics	Health Care
nutrition & wellness futurelearn mindfulness wellbeing peak performance	Nutrition & Wellness
political science futurelearn politics diplomacy cooking hospitality	Political Science
nutrition & wellness coursera vital signs understanding what body is telling us	Nutrition & Wellness
economics canvas network common sense economics life	Economics
economics nptel infrastructure economics	Economics
economics futurelearn risk management global economy	Economics
law federica diritto del lavoro dallo statuto al jobs act	Law
anthropology futurelearn identifying dead forensic science human identification	Anthropology
anthropology coursera ancient egypt	Anthropology
political science futurelearn switzerland europe money, migration other difficult matters	Political Science
law futurelearn corporate lawyers ethics, regulation purpose	Law
psychology futurelearn mind is flat shocking shallowness human psychology	Psychology
political science federica scienza politica	Political Science
political science federica concetti politici. un'analisi interattiva	Political Science
economics canvas network advanced microeconomics critical mind	Economics
political science federica sondocrazia. ascoltare, capire e governare l'opinione pubblica	Political Science
sociology futurelearn read mind understanding literary characters	Sociology
social sciences federica sociologia della povertà	Social Sciences
political science la empresa en una era política	Political Science
human rights canvas network disability as human rights issue global national perspectives	Human Rights
law futurelearn international franchise law world is yours	Law
political science open education by blackboard road white house 2016 presidential election	Political Science
political science federica us racial ethnic politics	Political Science
political science federica democracy autocracy. theories empirical findings	Political Science
political science stanford openedx technology accountability lab	Political Science
economics coursera economics money banking, part one	Economics
social sciences federica digital culture visions legacies	Social Sciences
political science federica understanding political concepts	Political Science
economics nptel commodity derivatives risk management	Economics
political science federica comparative political systems	Political Science
political science federica contemporary issues world politics	Political Science
political science federica teoría política	Political Science
political science federica global politics / politique globale	Political Science
social sciences federica comparative research designs methods	Social Sciences
political science canvas network run ethical campaign – win	Political Science
human rights canvas network teaching iowa history iowans struggles against anti-black racism	Human Rights
political science futurelearn why european union? brief history european integration	Political Science
law futurelearn unlocking film rights understanding uk copyright	Law
political science futurelearn towards brexit? uk's eu referendum	Political Science
urban planning edx housingx housing cities	Urban Planning
political science open education by blackboard remain or leave? mooc uk referendum eu membership	Political Science
political science open education by blackboard road white house republican democratic national party conventions explained analyzed	Political Science
sociology futurelearn our hungry planet agriculture, people food security	Sociology
social sciences edraak أسس التربية السليمة	Social Sciences
political science france université numerique questions stratégiques	Political Science
anthropology eduopen antropologia della salute biosfera e sistemi di cura	Anthropology
sociology france université numerique dernières nouvelles du crime	Sociology
political science futurelearn scotland wales vote 2016 understanding devolved elections	Political Science
social sciences futurelearn digital accessibility enabling participation information society	Social Sciences
economics edx behavioral economics action	Economics
anthropology futurelearn archaeology from dig lab beyond	Anthropology
law gacco ga037 知的財産とビジネス	Law
law edx international investment law	Law
social sciences canvas network research methodology (research seminar educational sciences)	Social Sciences
sociology futurelearn corpus linguistics method, analysis, interpretation	Sociology
sociology open education by blackboard slang	Sociology
economics coursera les transitions énergétique-écologiques dans les pays du sud	Economics
economics desire2learn macroeconomics clep prep	Economics
sociology polimi open knowledge ed101 embracing diversity	Sociology
political science futurelearn uk parliament people, processes public participation	Political Science
social sciences emma ser competente digital, para vivir y convivir en la sociedad en red	Social Sciences
anthropology canvas network antropología para la vida	Anthropology
urban planning futurelearn achieving sustainable development	Urban Planning
human rights miríada x el desarrollo de la relación laboral derechos y obligaciones	Human Rights
psychology futurelearn music moves why does music make you move?	Psychology
sociology miríada x ser ciudadano hoy	Sociology
economics coursera configuring world, part 1 comparative political economy	Economics
social sciences futurelearn social wellbeing	Social Sciences
economics canvas network common sense economics life (part 2)	Economics
social sciences futurelearn gender development	Social Sciences
psychology futurelearn babies mind why parent's mind matters	Psychology
economics stanford openedx econ-1 principles economics	Economics
economics canvas network common sense economics life (part 1)	Economics
economics canvas network common sense economics life (part 4)	Economics
economics canvas network common sense economics life (part 3)	Economics
psychology coursera understanding child development from synaps society	Psychology
social sciences futurelearn who made my clothes?	Social Sciences
sociology futurelearn web science web is changing world	Sociology
law futurelearn crime, justice society	Law
political science futurelearn propaganda ideology everyday life	Political Science
law federica diritto amministrativo	Law
political science open education by blackboard managing international relations	Political Science
social sciences canvas network gender-based violence context migration	Social Sciences
economics futurelearn improving children's lives reducing child poverty inequality around world	Economics
sociology futurelearn economics crime	Sociology
human rights futurelearn ending slavery strategies contemporary global abolition	Human Rights
social sciences futurelearn global studies risks threats international relations	Social Sciences
political science coursera responding 9/11 counterterrorism policy 21st century	Political Science
psychology gacco ga083 子どもの発達を科学する	Psychology
social sciences canvas network understanding media facts, authority, what we believe	Social Sciences
urban planning futurelearn ethical cities shaping future your city	Urban Planning
political science futurelearn korea global context	Political Science
social sciences nptel qualitative research methods	Social Sciences
sociology futurelearn childhood digital age	Sociology
human rights futurelearn disability good life working disability	Human Rights
social sciences futurelearn why do people migrate? theories	Social Sciences
law desire2learn foundations ip strategy	Law
economics futurelearn global studies end globalization?	Economics
urban planning open education by blackboard green transport. vehículos verdes, conectados y automatizados	Urban Planning
sociology emma chayn. strumenti attivi contro la violenza di genere	Sociology
law futurelearn understanding general data protection regulation	Law
social sciences iversity brücken bauen – demokratie und diversität deutschland bewahren!	Social Sciences
law futurelearn uk parliament explored petitions	Law
law miríada x life law	Law
human rights futurelearn water people gender, human rights, diplomacy	Human Rights
urban planning futurelearn smart grids smart cities towards zero emissions	Urban Planning
anthropology futurelearn homo floresiensis uncovered science ‘the hobbit’	Anthropology
sociology futurelearn cultural studies modern languages	Sociology
economics futurelearn exploring economics will next generation be worse off?	Economics
human rights canvas network international african legal framework freedom expression	Human Rights
anthropology futurelearn shipwrecks submerged worlds maritime archaeology	Anthropology
social sciences fact-checking ferramenta para combater notícias falsas	Social Sciences
sociology globalization past future	Sociology
psychology futurelearn literature mental health reading wellbeing	Psychology
sociology futurelearn desigualdades en américa latina y el caribe investigación, políticas y gestión para las transformaciones sociales	Sociology
law emma copyright diy	Law
economics futurelearn exploring possible futures modeling environmental energy economics	Economics
urban planning gacco ga077 都市の災害リスクとその備え	Urban Planning
psychology futurelearn what is mind?	Psychology
urban planning polimi open knowledge sustarch101 sustainable building design tropical climates principles guidelines eac	Urban Planning
social sciences futurelearn planetary urbanisation global challenges changing world	Social Sciences
sociology futurelearn japanese subcultures	Sociology
political science stanford openedx threat nuclear terrorism	Political Science
psychology novoed problem-based principles design	Psychology
sociology open education by blackboard spettro di comportamenti di cyberbullying	Sociology
calculus france université numerique à la logique informatique partie 2 calcul des prédicats	Calculus
statistics & probability france université numerique méthodes de sondage et d'enquête	Statistics & Probability
mathematics nptel discrete mathematics	Mathematics
statistics & probability nptel applied multivariate statistical modeling	Statistics & Probability
calculus futurelearn real world calculus maths drives formula one launches angry birds	Calculus
statistics & probability miríada x estadística para investigadores todo lo que siempre quiso saber	Statistics & Probability
statistics & probability coursera descriptive statistics	Statistics & Probability
algebra & geometry miríada x geometría diferencial y mecánica una introducción	Algebra & Geometry
algebra & geometry futurelearn maths humans linear, quadratic & inverse relations	Algebra & Geometry
calculus miríada x matemáticas esenciales en los números reales y complejos	Calculus
mathematics coursera probability	Mathematics
algebra & geometry edx álgebra lineal	Algebra & Geometry
calculus coursera pre-calculus	Calculus
statistics & probability miríada x análisis estadístico básico con spss	Statistics & Probability
calculus coursera mathematical methods quantitative finance	Calculus
statistics & probability coursera statistics social sciences	Statistics & Probability
calculus coursera calculus single variable	Calculus
foundations mathematics coursera logic language information 2	Foundations of Mathematics
history gacco ga001 日本中世の自由と平等	History
grammar & writing canvas network getting writing graduate school	Grammar & Writing
grammar & writing canvas network composing public audiences writing, rhetoric, research	Grammar & Writing
grammar & writing canvas network kickstart your academic writing	Grammar & Writing
"literature edx ""dubliners"" by joyce berkeleyx book club"	Literature
foreign language eduopen la fine del viaggio di orientenglish	Foreign Language
humanities canvas network writing american food	Humanities
literature canvas network laura ingalls wilder exploring her work writing life	Literature
"literature edx ""frankenstein; or, modern prometheus"" by shelley berkeleyx book club"	Literature
history u.s. history since 1877 (hist-2020)	History
foreign language canvas network cada dia welsh welsh language conversation	Foreign Language
foreign language eduopen imparare l'inglese... con l'audio e con il video	Foreign Language
foreign language eduopen imparare l'inglese... interrogando la rete	Foreign Language
foundations mathematics canvas network science fiction/science fact predictions math (lite)	Foundations of Mathematics
statistics & probability france université numerique fondamentaux en statistique	Statistics & Probability
foundations mathematics coursera logic language information 1	Foundations of Mathematics
calculus france université numerique equations différentielles de newton à nos jours	Calculus
algebra & geometry mujeres coraje. maestras de la transgresión	Algebra & Geometry
calculus coursera çok değişkenli fonksiyonlarda türev ve entegral ii i̇leri konular ve uygulamalar / multivariable calculus ii applications advanced topics	Calculus
calculus miríada x introducción la teoría combinatoria	Calculus
algebra & geometry coursera coding matrix linear algebra through computer science applications	Algebra & Geometry
calculus coursera functional analysis	Calculus
algebra & geometry coursera matemáticas y movimiento	Algebra & Geometry
statistics & probability coursera teaching statistical thinking part 1 descriptive statistics	Statistics & Probability
statistics & probability miríada x estadística descriptiva	Statistics & Probability
mathematics miríada x matemáticas básicas	Mathematics
statistics & probability miríada x probabilidad básica	Statistics & Probability
statistics & probability edx statistics probability	Statistics & Probability
statistics & probability edx statistics inference	Statistics & Probability
foundations mathematics iversity mathe-mooc mathematisch denken!	Foundations of Mathematics
foundations mathematics upv [x] bases matemáticas números y terminología	Foundations of Mathematics
statistics & probability edx statistics descriptive statistics	Statistics & Probability
foundations mathematics upv [x] bases matemáticas integrales	Foundations of Mathematics
calculus coursera massively multivariable open online calculus course	Calculus
statistics & probability iversity einführung die wahrscheinlichkeitstheorie	Statistics & Probability
statistics & probability coursera unpredictable? randomness, chance free will	Statistics & Probability
algebra & geometry upv [x] aplicaciones de la teoría de grafos la vida real	Algebra & Geometry
foundations mathematics coursera 数学之旅 journey mathematics	Foundations of Mathematics
statistics & probability novoed numbers life	Statistics & Probability
calculus coursera analysis complex kind	Calculus
calculus canvas network basic arithmetic	Calculus
statistics & probability coursera statistics one	Statistics & Probability
algebra & geometry open education by blackboard pre-algebra	Algebra & Geometry
nursing canvas network english nurses language community	Nursing
history federica latino forme e circolazione nella pars orientis dell’impero	History
history france université numerique découper le temps les périodes de l'histoire	History
foreign language eduopen come sta il mio inglese?	Foreign Language
humanities canvas network innovators american cuisine	Humanities
foreign language edraak تعلم الإنجليزية مهارات المحادثة للمبتدئين	Foreign Language
"literature edx ""adventures huckleberry finn"" by twain berkeleyx book club"	Literature
literature eduopen la letteratura angloamericana prosa attraverso i suoi inizi	Literature
philosophy coursera explorations confucian philosophy	Philosophy
grammar & writing eduopen cunei-lab introduzione al cuneiforme	Grammar & Writing
statistics & probability coursera 機率 (probability)	Statistics & Probability
history france université numerique histoire des sciences une	History
"literature edx ""the picture dorian gray"" by wilde berkeleyx book club"	Literature
grammar & writing edx colwri2.3x academic business writing	Grammar & Writing
foreign language rwaq (رواق) مدخل إلى الثقافة و النقد الثقافي	Foreign Language
"literature edx ""a christmas carol"" by dickens berkeleyx book club"	Literature
foreign language coursera english business literacy	Foreign Language
philosophy france université numerique développer sa pensée critique	Philosophy
grammar & writing futurelearn journalism	Grammar & Writing
philosophy gacco ga018 人とロボットが共生する未来社会	Philosophy
history federica storia d'italia	History
"literature edx ""call wild"" by london berkeleyx book club"	Literature
foreign language miríada x español salamanca a2	Foreign Language
grammar & writing france université numerique wikimooc apprenez à contribuer sur wikipédia !	Grammar & Writing
foreign language miríada x curso de português para estrangeiros	Foreign Language
philosophy conciliation travail-famille défis et solutions	Philosophy
philosophy coursera manifestation 101	Philosophy
foreign language gacco ga057 中国古典に見る指導者の条件	Foreign Language
"literature edx ""a room view"" by forster berkeleyx book club"	Literature
literature france université numerique fantasy, de l'angleterre victorienne au trône de fer	Literature
grammar & writing futurelearn community journalism digital social media	Grammar & Writing
history à l’histoire politique du québec	History
foreign language coursera teach english now! course design classroom management	Foreign Language
"literature edx ""jane eyre"" by bronte berkeleyx book club"	Literature
foreign language gacco ga052 江戸文化入門	Foreign Language
foreign language rwaq (رواق) دورة تدريب معلمي اللغة العربية لغير الناطقين بها	Foreign Language
mathematics canvas network álgebra básica	Mathematics
algebra & geometry canvas network precalculus algebra	Algebra & Geometry
mathematics futurelearn maths puzzles cryptarithms, symbologies secret codes	Mathematics
statistics & probability polimi open knowledge bom101 betonmath citizens	Statistics & Probability
mathematics desire2learn saskatchewan polytechnic's applied trade math mooc	Mathematics
statistics & probability gacco ga047 統計学ⅱ 推測統計の方法	Statistics & Probability
algebra & geometry miríada x ética en la investigación universitaria	Algebra & Geometry
foundations mathematics canvas network teaching math english language learners	Foundations of Mathematics
religion miríada x religiones en españa	Religion
calculus coursera analytic combinatorics	Calculus
foundations mathematics futurelearn getting grip mathematical symbolism	Foundations of Mathematics
mathematics nptel mathematics chemistry	Mathematics
statistics & probability canvas network (he) statistics education mere mortals	Statistics & Probability
algebra & geometry nptel linear algebra	Algebra & Geometry
mathematics nptel linear regression analysis forecasting	Mathematics
statistics & probability nptel introductory course real analysis	Statistics & Probability
statistics & probability nptel probability statistics	Statistics & Probability
mathematics nptel mathematical methods its applications	Mathematics
algebra & geometry nptel commutative algebra	Algebra & Geometry
calculus edraak التفاضل والتكامل 4	Calculus
calculus nptel basic calculus engineers, scientists economists	Calculus
mathematics futurelearn maths humans inverse relations power laws	Mathematics
calculus edraak التفاضل والتكامل 3	Calculus
mathematics futurelearn maths humans linear quadratic relations	Mathematics
algebra & geometry miríada x las matrices y sus aplicaciones	Algebra & Geometry
mathematics edraak دليل الرياضيات للمرحلة الثانوية /العلمي‎	Mathematics
calculus edraak التفاضل والتكامل 1	Calculus
calculus edraak التفاضل والتكامل 2	Calculus
algebra & geometry coursera geometría analítica	Algebra & Geometry
foundations mathematics iversity mathematical logic algorithms theory	Foundations of Mathematics
foundations mathematics iversity mathematik online-kurs mathematisch denken!	Foundations of Mathematics
statistics & probability coursera applied logistic regression	Statistics & Probability
statistics & probability nptel statistical hypothesis testing	Statistics & Probability
calculus nptel differential calculus several variables	Calculus
calculus coursera precálculo alpha primer paso las matemáticas universitarias	Calculus
mathematics france université numerique à la statistique avec r	Mathematics
literature futurelearn leer macondo la obra de gabriel garcía márquez	Literature
literature futurelearn reading macondo works gabriel garcía márquez	Literature
algebra & geometry france université numerique statistique pour l'ingénieur	Algebra & Geometry
grammar & writing novoed power pen identities social issues poetry plays	Grammar & Writing
culture gacco pt015 食文化の本来と将来	Culture
culture futurelearn global studies cultures organizations international relations	Culture
grammar & writing novoed power pen identities social issues fiction nonfiction	Grammar & Writing
history futurelearn wellington battle waterloo	History
esl canvas network cada día english	ESL
religion open education by blackboard book matthew 30 life changing principles	Religion
culture open education by blackboard 다문화 사회와 공존의 인문학	Culture
esl canvas network tell your story english reading & writing skills language learners	ESL
history canvas network warfare weapons ancient egypt	History
literature futurelearn shakespeare his world	Literature
history futurelearn superpowers ancient world near east	History
foreign language coursera spanish vocabulary discussing sports politics	Foreign Language
esl futurelearn exploring english language culture	ESL
grammar & writing canvas network scientific writing publication	Grammar & Writing
mathematics france université numerique groupes finis les mathématiques du rubik's cube	Mathematics
foreign language futurelearn exploring english shakespeare	Foreign Language
sports canvas network sports performance analysis 101	Sports
philosophy nptel ethics	Philosophy
sports futurelearn youth football coaching developing creative players	Sports
history canvas network st. norbert man, movement, mooc	History
history futurelearn world war 1 lessons legacy great war	History
grammar & writing nptel english language competitive exams	Grammar & Writing
history futurelearn holocaust part 1	History
history coursera making us president short history five elections	History
philosophy nptel indian philosophy	Philosophy
literature nptel literary theory literary criticism	Literature
humanities futurelearn environmental humanities remaking nature	Humanities
philosophy futurelearn taoism western culture	Philosophy
philosophy futurelearn understanding japanese philosophy	Philosophy
history federica storia del diritto romano	History
foreign language futurelearn catalan sign language speaking your hearing your eyes	Foreign Language
"literature edx ""the jungle"" by sinclair berkeleyx book club"	Literature
history futurelearn agincourt 1415 myth reality	History
culture coursera contemporary india	Culture
literature federica letteratura latina 2 l’idea dell’altro età imperiale	Literature
literature federica letteratura latina i	Literature
culture federica comprendere l'italiano passato, presente, futuro	Culture
grammar & writing coursera journalism skills engaged citizens	Grammar & Writing
history gacco ga067 アンコール･ワット研究 ―「人間」を考える総合学問としての新地平―	History
"literature edx ""dracula"" by stoker berkeleyx book club"	Literature
foreign language novoed using communication-focused activities designated english as new language lessons (new york)	Foreign Language
philosophy federica meccanica applicata alle macchine	Philosophy
literature gacco ga007 俳句－十七字の世界－	Literature
foreign language canvas network teaching english academic purposes	Foreign Language
computer science coursera ibm blockchain foundation developers	Computer Science
"literature edx ""a study scarlet"" by doyle berkeleyx book club"	Literature
deep coursera deep	Deep Learning
cybersecurity coursera cryptographic hash integrity protection	Cybersecurity
internet things coursera raspberry pi platform python programming raspberry pi	Internet of Things
programming languages coursera pointers, arrays, recursion	Programming Languages
artificial intelligence coursera practical predictive analytics models methods	Artificial Intelligence
computer science coursera advanced data structures java	Computer Science
cybersecurity coursera cyber attacks	Cybersecurity
devops coursera cloud networking	DevOps
machine coursera 機器學習基石下 (machine foundations)---algorithmic foundations	Machine Learning
computer networking coursera cisco networking	Computer Networking
computer networking coursera packet switching networks algorithms	Computer Networking
cybersecurity coursera design analyze secure networked systems	Cybersecurity
cybersecurity coursera proactive computer security	Cybersecurity
machine coursera big data applications machine at scale	Machine Learning
deep coursera improving deep neural networks hyperparameter tuning, regularization optimization	Deep Learning
computer science coursera fundamentals parallelism intel architecture	Computer Science
information technology coursera unix workbench	Information Technology
artificial intelligence coursera recommender systems non-personalized content-based	Artificial Intelligence
algorithms data structures coursera discrete mathematics	Algorithms and Data Structures
literature novoed whitman’s civil war writing imaging loss, death, disaster	Literature
artificial intelligence coursera probabilistic graphical models 3	Artificial Intelligence
information technology coursera hi-five health informatics innovation, value & enrichment (administrative/it perspective)	Information Technology
algorithms data structures coursera algorithms strings	Algorithms and Data Structures
cybersecurity coursera cybersecurity internet things	Cybersecurity
